경찰서이름,경찰서주소,관서
당곡지구대,서울 관악구 봉천동 969-14,당곡지구대
당산지구대,서울 영등포구 당산동5가 15,당산지구대
당현지구대,서울 노원구 중계동 511,당현지구대
대림3파출소,서울 영등포구 대림동 775-2,대림3파출소
대림지구대,서울 영등포구 대림동 706-8,대림지구대
대방파출소,서울 동작구 대방동 417-4,대방파출소
대왕파출소,서울 강남구 세곡동 120-9,대왕파출소
대조파출소,서울 은평구 대조동 33-54,대조파출소
대치지구대,서울 강남구 대치동 598,대치지구대
대학로파출소,서울 종로구 동숭동 201-10,대학로파출소
도곡지구대,서울 강남구 역삼동 711,도곡지구대
도림치안센터,서울 영등포구 도림동 133-1,도림치안센터
도봉1파출소,서울 도봉구 도봉동 594-24,도봉1파출소
도봉2파출소,서울 도봉구 도봉동 69-2,도봉2파출소
도봉경찰서 민원봉사실,서울 도봉구 창동 18,도봉경찰서 민원봉사실
도봉경찰서교차로,서울 도봉구 창동,도봉경찰서교차로
독산파출소,서울 금천구 독산동 1006-96,독산파출소
돈암지구대,서울 성북구 돈암동 630-5,돈암지구대
동교치안센터,서울 마포구 동교동 179-37,동교치안센터
동대문경찰서 교차로 대여소,서울 동대문구 청량리동 317,동대문경찰서 교차로 대여소
동대문경찰서 교통센터,서울 동대문구 용두동 255-47,동대문경찰서 교통센터
동대문경찰서교차로,서울 동대문구 청량리동,동대문경찰서교차로
동묘파출소,서울 종로구 숭인동 242-7,동묘파출소
둔촌파출소,서울 강동구 둔촌동 170-1,둔촌파출소
등촌2파출소,서울 강서구 등촌동 513-6,등촌2파출소
뚝섬치안센터,서울 성동구 성수동1가 685-580,뚝섬치안센터
마곡지구대,서울 강서구 마곡동 737-19,마곡지구대
마들지구대,서울 노원구 상계동 681,마들지구대
마천파출소,서울 송파구 마천동 127-8,마천파출소
마포경찰서 개방화장실,서울 마포구 아현동 618-1,마포경찰서 개방화장실
망우지구대,서울 중랑구 망우동 489-7,망우지구대
망원2치안센터,서울 마포구 망원동 471-22,망원2치안센터
망원파출소,서울 마포구 망원동 398-1,망원파출소
먹골파출소,서울 중랑구 묵동 120,먹골파출소
메가MGC커피 종로혜화경찰서점,서울 종로구 연지동 203,메가MGC커피 종로혜화경찰서점
면목본동파출소,서울 중랑구 면목동 71-24,면목본동파출소
면목삼팔파출소,서울 중랑구 면목동 1508-3,면목삼팔파출소
명동파출소,서울 중구 명동2가 50-13,명동파출소
명륜파출소,서울 종로구 명륜1가 27-55,명륜파출소
명일파출소,서울 강동구 명일동 47-30,명일파출소
명일파출소 개방화장실,서울 강동구 명일동 47-30,명일파출소 개방화장실
목2지구대,서울 양천구 목동 657-23,목2지구대
무인민원발급창구 동대문경찰서 민원봉사실,서울 동대문구 청량리동 229,무인민원발급창구 동대문경찰서 민원봉사실
무인민원발급창구 종암경찰서,서울 성북구 종암동 3-1260,무인민원발급창구 종암경찰서
무인민원발급창구 중랑경찰서,서울 중랑구 신내동 810,무인민원발급창구 중랑경찰서
문래지구대,서울 영등포구 문래동3가 54-2,문래지구대
문성지구대,서울 금천구 독산동 191-2,문성지구대
문정지구대,서울 송파구 장지동 841,문정지구대
미성파출소,서울 관악구 신림동 1566-34,미성파출소
미아지구대,서울 강북구 미아동 327-1,미아지구대
반포지구대,서울 서초구 반포동 19-13,반포지구대
발산지구대,서울 강서구 내발산동 748-5,발산지구대
방배1파출소,서울 서초구 방배동 924-2,방배1파출소
방배4치안센터,서울 서초구 방배동 821-1,방배4치안센터
방배경찰서 개방화장실,서울 서초구 방배동 455-10,방배경찰서 개방화장실
방이지구대,서울 송파구 방이동 204-8,방이지구대
방학2치안센터,서울 도봉구 방학동 306-41,방학2치안센터
방학파출소,서울 도봉구 방학동 687-3,방학파출소
방화3파출소,서울 강서구 방화동 822,방화3파출소
백산지구대,서울 금천구 시흥동 244-38,백산지구대
번3파출소,서울 강북구 번동 242-6,번3파출소
번동파출소,서울 강북구 번동 410-23,번동파출소
보광파출소,서울 용산구 보광동 223-5,보광파출소
봉화지구대,서울 중랑구 신내동 644-3,봉화지구대
북가좌파출소,서울 서대문구 북가좌동 310-2,북가좌파출소
북아현치안센터,서울 서대문구 북아현동 176-53,북아현치안센터
불광1치안센터,서울 은평구 불광동 13-33,불광1치안센터
불광지구대,서울 은평구 불광동 423-13,불광지구대
불암지구대,서울 노원구 중계동 359-6,불암지구대
사당지구대,서울 동작구 사당동 1021-45,사당지구대
사직파출소,서울 종로구 필운동 139-1,사직파출소
삼각지파출소,서울 용산구 한강로1가 16,삼각지파출소
삼선치안센터,서울 성북구 삼선동3가 68-6,삼선치안센터
삼성1파출소,서울 강남구 삼성동 107-3,삼성1파출소
삼성2파출소,서울 강남구 삼성동 35,삼성2파출소
삼성동자율방범초소,서울 관악구 신림동 808-653,삼성동자율방범초소
삼양파출소,서울 강북구 미아동 867-128,삼양파출소
삼전지구대,서울 송파구 삼전동 62-3,삼전지구대
삼청파출소,서울 종로구 팔판동 56,삼청파출소
상계1파출소,서울 노원구 상계동 1261,상계1파출소
상도2치안센터,서울 동작구 상도동 364-36,상도2치안센터
상도지구대,서울 동작구 상도동 901,상도지구대
상림치안센터,서울 은평구 진관동 15-13,상림치안센터
상봉파출소,서울 중랑구 면목동 198-1,상봉파출소
상암파출소,서울 마포구 상암동 1614,상암파출소
상일파출소,서울 강동구 상일동 520-2,상일파출소
서강지구대,서울 마포구 창전동 402-59,서강지구대
서대문경찰서 112치안종합상황실,서울 서대문구 충정로3가 63-1,서대문경찰서 112치안종합상황실
서대문경찰서 교통정보센터,서울 서대문구 영천동 263,서대문경찰서 교통정보센터
서대문경찰서 교통정보센터 개방화장실,서울 서대문구 영천동 263,서대문경찰서 교통정보센터 개방화장실
서래파출소,서울 서초구 반포동 16-7,서래파출소
서부경찰서 개방화장실,서울 은평구 녹번동 177-15,서부경찰서 개방화장실
서소문파출소,서울 중구 서소문동 24,서소문파출소
서울 강동경찰서 1F 전기차충전소,서울 강동구 성내동 541-1,서울 강동경찰서 1F 전기차충전소
서울 강동경찰서 B2F 전기차충전소,서울 강동구 성내동 541-1,서울 강동경찰서 B2F 전기차충전소
서울 강동경찰서 전기차충전소,서울 강동구 성내동 541-1,서울 강동경찰서 전기차충전소
서울강남경찰서,서울 강남구 대치동 998,서울강남경찰서
서울강남경찰서 112종합상황실,서울 강남구 대치동 998,서울강남경찰서 112종합상황실
서울강남경찰서 교통정보센터,서울 강남구 대치동 998,서울강남경찰서 교통정보센터
서울강남경찰서 구내식당,서울 강남구 대치동 998,서울강남경찰서 구내식당
서울강남경찰서 민원실,서울 강남구 대치동 998,서울강남경찰서 민원실
서울강남경찰서 전기차충전소,서울 강남구 대치동 998,서울강남경찰서 전기차충전소
서울강남경찰서 주차장,서울 강남구 대치동 998,서울강남경찰서 주차장
서울강동경찰서,서울 강동구 성내동 541-1,서울강동경찰서
서울강동경찰서 교통정보센터,서울 강동구 성내동 541-1,서울강동경찰서 교통정보센터
서울강동경찰서 민원실,서울 강동구 성내동 541-1,서울강동경찰서 민원실
서울강북경찰서,서울 강북구 번동 415-15,서울강북경찰서
서울강북경찰서 전기차충전소,서울 강북구 번동 415-15,서울강북경찰서 전기차충전소
서울강북경찰서 통합민원실,서울 강북구 번동 415-15,서울강북경찰서 통합민원실
서울강서경찰서,서울 강서구 화곡동 980-27,서울강서경찰서
서울강서경찰서 민원실,서울 강서구 화곡동 980-27,서울강서경찰서 민원실
서울강서경찰서 전기차충전소,서울 강서구 화곡동 980-27,서울강서경찰서 전기차충전소
서울강서경찰서 주차장,서울 강서구 화곡동 980-27,서울강서경찰서 주차장
서울관악경찰서,서울 관악구 봉천동 1695-5,서울관악경찰서
서울관악경찰서 교통센터,서울 관악구 봉천동 1591-2,서울관악경찰서 교통센터
서울관악경찰서 민원봉사실,서울 관악구 봉천동 1695-5,서울관악경찰서 민원봉사실
서울관악경찰서 신림지구대 서원동자율방범대,서울 관악구 신림동 808-408,서울관악경찰서 신림지구대 서원동자율방범대
서울관악경찰서 전기차충전소,서울 관악구 봉천동 1695-5,서울관악경찰서 전기차충전소
서울광진경찰서,서울 광진구 구의동 254-32,서울광진경찰서
서울광진경찰서 종합민원실,서울 광진구 구의동 254-32,서울광진경찰서 종합민원실
서울구로경찰서 교통센터,서울 구로구 구로동 685-218,서울구로경찰서 교통센터
서울구로경찰서 민원실,서울 구로구 구로동 3-25,서울구로경찰서 민원실
서울구로경찰서 신청사 (2026년 4월 예정),서울 구로구 구로동 436,서울구로경찰서 신청사 (2026년 4월 예정)
서울구로경찰서 임시청사,서울 구로구 구로동 3-25,서울구로경찰서 임시청사
서울금천경찰서,서울 금천구 시흥동 1030,서울금천경찰서
서울금천경찰서 교통안전교통정보센터,서울 금천구 시흥동 1030,서울금천경찰서 교통안전교통정보센터
서울금천경찰서 민원봉사실,서울 금천구 시흥동 1030,서울금천경찰서 민원봉사실
서울금천경찰서 여성청소년계,서울 금천구 시흥동 1030,서울금천경찰서 여성청소년계
서울남대문경찰서,서울 중구 남대문로5가 561,서울남대문경찰서
서울남대문경찰서 경리계,서울 중구 남대문로5가 561,서울남대문경찰서 경리계
서울남대문경찰서 교통민원실,서울 중구 남대문로5가 561,서울남대문경찰서 교통민원실
서울남대문경찰서 교통정보센터,서울 중구 남대문로5가 561,서울남대문경찰서 교통정보센터
서울노원경찰서,서울 노원구 하계동 250,서울노원경찰서
서울노원경찰서 민원봉사실,서울 노원구 하계동 250,서울노원경찰서 민원봉사실
서울도봉경찰서,서울 도봉구 창동 17,서울도봉경찰서
서울도봉경찰서 교통정보센터,서울 도봉구 창동 18,서울도봉경찰서 교통정보센터
서울동대문경찰서,서울 동대문구 청량리동 229,서울동대문경찰서
서울동대문경찰서 민원실,서울 동대문구 청량리동 229,서울동대문경찰서 민원실
서울동작경찰서,서울 동작구 노량진동 72-35,서울동작경찰서
서울동작경찰서 교통정보센터,서울 동작구 본동 258-1,서울동작경찰서 교통정보센터
서울동작경찰서 남성지구대,서울 동작구 동작동 102,서울동작경찰서 남성지구대
서울동작경찰서 민원봉사실,서울 동작구 노량진동 72-35,서울동작경찰서 민원봉사실
서울마포경찰서,서울 마포구 아현동 618-1,서울마포경찰서
서울마포경찰서 교통정보센터,서울 마포구 공덕동 456,서울마포경찰서 교통정보센터
서울마포경찰서 전기차충전소,서울 마포구 아현동 618-1,서울마포경찰서 전기차충전소
서울방배경찰서 (2025년 예정),서울 서초구 방배동 455-10,서울방배경찰서 (2025년 예정)
서울방배경찰서 교통센터,서울 서초구 방배동 443-12,서울방배경찰서 교통센터
서울방배경찰서 임시청사,서울 서초구 방배동 765-14,서울방배경찰서 임시청사
서울방배경찰서 종합민원실,서울 서초구 방배동 765-14,서울방배경찰서 종합민원실
서울서대문경찰서,서울 서대문구 충정로3가 63-1,서울서대문경찰서
서울서대문경찰서 민원인주차장,서울 서대문구 충정로3가 63-1,서울서대문경찰서 민원인주차장
서울서부경찰서,서울 은평구 녹번동 177-15,서울서부경찰서
서울서부경찰서 교통정보센터,서울 은평구 녹번동 177-15,서울서부경찰서 교통정보센터
서울서부경찰서 전기차충전소,서울 은평구 녹번동 177-15,서울서부경찰서 전기차충전소
서울서초경찰서 경비실,서울 서초구 서초동 1726-1,서울서초경찰서 경비실
서울성동경찰서,서울 성동구 행당동 192-8,서울성동경찰서
서울성동경찰서 교통정보센터,서울 성동구 행당동 196-25,서울성동경찰서 교통정보센터
서울성동경찰서 민원봉사실,서울 성동구 행당동 192-8,서울성동경찰서 민원봉사실
서울성북경찰서,서울 성북구 삼선동5가 301,서울성북경찰서
서울성북경찰서 민원실,서울 성북구 삼선동5가 301,서울성북경찰서 민원실
서울송파경찰서,서울 송파구 가락동 9,서울송파경찰서
서울숲지구대,서울 성동구 성수동2가 344-7,서울숲지구대
서울시 금천구 금천경찰서 전기차충전소,서울 금천구 시흥동 1030,서울시 금천구 금천경찰서 전기차충전소
서울시 도봉구 도봉경찰서 전기차충전소,서울 도봉구 창동 18,서울시 도봉구 도봉경찰서 전기차충전소
서울시 동대문구 동대문경찰서 전기차충전소,서울 동대문구 청량리동 229,서울시 동대문구 동대문경찰서 전기차충전소
서울시 송파구 송파경찰서 전기차충전소,서울 송파구 가락동 9,서울시 송파구 송파경찰서 전기차충전소
서울시 은평구 은평경찰서 전기차충전소,서울 은평구 불광동 산 24,서울시 은평구 은평경찰서 전기차충전소
서울시 중랑구 중랑경찰서 전기차충전소,서울 중랑구 신내동 810,서울시 중랑구 중랑경찰서 전기차충전소
서울양천경찰서,서울 양천구 신정동 321,서울양천경찰서
서울양천경찰서 민원봉사실,서울 양천구 신정동 321,서울양천경찰서 민원봉사실
서울양천경찰서 주차장,서울 양천구 신정동 321,서울양천경찰서 주차장
서울역파출소,서울 중구 봉래동2가 122-17,서울역파출소
서울영등포경찰서,서울 영등포구 당산동3가 2-11,서울영등포경찰서
서울용산경찰서,서울 용산구 원효로1가 12-12,서울용산경찰서
서울용산경찰서 개방화장실,서울 용산구 원효로1가 12-12,서울용산경찰서 개방화장실
서울용산경찰서 교통정보센터,서울 용산구 원효로1가 25,서울용산경찰서 교통정보센터
서울용산경찰서 자율방범연합대,서울 용산구 원효로3가 46-4,서울용산경찰서 자율방범연합대
서울용산경찰서 종합민원봉사실,서울 용산구 원효로1가 12-12,서울용산경찰서 종합민원봉사실
서울은평경찰서,서울 은평구 불광동 산 24,서울은평경찰서
서울은평경찰서 교통정보센터,서울 은평구 진관동 91-1,서울은평경찰서 교통정보센터
서울종로2가우체국,서울 종로구 종로2가 39-2,서울종로2가우체국
서울종로경찰서,서울 종로구 공평동 1,서울종로경찰서
서울종로경찰서 민원봉사실,서울 종로구 공평동 1,서울종로경찰서 민원봉사실
서울종로경찰서 종합민원실,서울 종로구 공평동 1,서울종로경찰서 종합민원실
서울종암경찰서,서울 성북구 종암동 3-1260,서울종암경찰서
서울종암경찰서 종암교통센터,서울 성북구 종암동 25-47,서울종암경찰서 종암교통센터
서울중랑경찰서,서울 중랑구 신내동 810,서울중랑경찰서
서울중랑경찰서 교통정보센터,서울 중랑구 묵동 250-4,서울중랑경찰서 교통정보센터
서울중랑경찰서 민원실,서울 중랑구 신내동 810,서울중랑경찰서 민원실
서울중부경찰서,서울 중구 회현동1가 210,서울중부경찰서
서울중부경찰서 교통정보센터,서울 중구 충무로5가 20-43,서울중부경찰서 교통정보센터
서울중부경찰서 민원봉사실,서울 중구 회현동1가 210,서울중부경찰서 민원봉사실
서울중부경찰서 역사박물관,서울 중구 저동2가 62-1,서울중부경찰서 역사박물관
서울혜화경찰서,서울 종로구 숭인동 165,서울혜화경찰서
서울혜화경찰서 교통민원실,서울 종로구 숭인동 165,서울혜화경찰서 교통민원실
서울혜화경찰서 교통센터,서울 종로구 원남동 96-7,서울혜화경찰서 교통센터
서울혜화경찰서 민원봉사실,서울 종로구 숭인동 165,서울혜화경찰서 민원봉사실
