경찰서이름,경찰서주소,관서
용산역파출소 개방화장실,서울 용산구 한강로1가 16,용산역파출소 개방화장실
용산치안센터,서울 용산구 용산동2가 11-13,용산치안센터
용신지구대,서울 동대문구 용두동 696-10,용신지구대
용중지구대,서울 용산구 후암동 244-103,용중지구대
용중지구대 개방화장실,서울 용산구 후암동 244-103,용중지구대 개방화장실
용중지구대용산치안센터 개방화장실,서울 용산구 용산동2가 11-15,용중지구대용산치안센터 개방화장실
우면치안센터,서울 서초구 우면동 69,우면치안센터
우면파출소,서울 서초구 우면동 768,우면파출소
우이치안센터,서울 강북구 우이동 16-27,우이치안센터
원효지구대,서울 용산구 원효로1가 25,원효지구대
원효지구대 개방화장실,서울 용산구 원효로1가 25-3,원효지구대 개방화장실
월계지구대,서울 노원구 월계동 320-5,월계지구대
월곡지구대,서울 성북구 하월곡동 90-1152,월곡지구대
월드컵지구대,서울 마포구 성산동 602,월드컵지구대
은평경찰서 개방화장실,서울 은평구 불광동 산 24,은평경찰서 개방화장실
을지로3가파출소,서울 중구 을지로3가 291-50,을지로3가파출소
을지지구대,서울 중구 충무로5가 20-43,을지지구대
응봉파출소,서울 성동구 응봉동 275-8,응봉파출소
응암3파출소,서울 은평구 응암동 576-43,응암3파출소
응암지구대,서울 은평구 응암동 84-8,응암지구대
이문지구대,서울 동대문구 이문동 92-1,이문지구대
이수파출소,서울 서초구 방배동 774-9,이수파출소
이촌치안센터,서울 용산구 이촌동 301-82,이촌치안센터
이태원지구대 개방화장실,서울 용산구 이태원동 127-10,이태원지구대 개방화장실
이태원파출소,서울 용산구 이태원동 127-10,이태원파출소
인수파출소,서울 강북구 수유동 410-342,인수파출소
일원지구대,서울 강남구 개포동 189,일원지구대
자양1파출소,서울 광진구 자양동 799-2,자양1파출소
자양2치안센터,서울 광진구 자양동 669-2,자양2치안센터
자양4파출소,서울 광진구 자양동 55-12,자양4파출소
자양파출소,서울 광진구 자양동 553-632,자양파출소
잠실지구대,서울 송파구 잠실동 19,잠실지구대
장안1파출소,서울 동대문구 장안동 164-10,장안1파출소
장안2파출소,서울 동대문구 장안동 329-5,장안2파출소
장안3치안센터,서울 동대문구 장안동 354-9,장안3치안센터
장위2치안센터,서울 성북구 장위동 272-74,장위2치안센터
장위지구대,서울 성북구 장위동 275-18,장위지구대
장충파출소,서울 중구 장충동2가 197-34,장충파출소
전농1파출소,서울 동대문구 전농동 650-1,전농1파출소
전농2파출소,서울 동대문구 전농동 103-570,전농2파출소
정릉2파출소,서울 성북구 정릉동 966-174,정릉2파출소
정릉파출소,서울 성북구 정릉동 239-3,정릉파출소
제기파출소,서울 동대문구 제기동 287-33,제기파출소
종로2가지구대,서울 종로구 종로2가 39-3,종로2가지구대
종로3가치안센터,서울 종로구 묘동 59-5,종로3가치안센터
종로5가파출소,서울 종로구 종로5가 138-1,종로5가파출소
종로경찰서 동십자각 교통센터,서울 종로구 중학동 14-1,종로경찰서 동십자각 교통센터
종암파출소,서울 성북구 종암동 80-9,종암파출소
중곡1파출소,서울 광진구 중곡동 165-6,중곡1파출소
중곡2파출소,서울 광진구 중곡동 47-33,중곡2파출소
중곡3파출소,서울 광진구 중곡동 684,중곡3파출소
중곡4파출소,서울 광진구 중곡동 18-144,중곡4파출소
중랑경찰서 개방화장실,서울 중랑구 신내동 267-15,중랑경찰서 개방화장실
중랑경찰서 전기차충전소,서울 중랑구 신내동 810,중랑경찰서 전기차충전소
중랑경찰서 중랑모범운전자회,서울 중랑구 망우동 489-7,중랑경찰서 중랑모범운전자회
중랑경찰서시민경찰,서울 중랑구 면목동 1503-4,중랑경찰서시민경찰
중림파출소,서울 중구 중림동 203,중림파출소
중부경찰서 민원실 개방화장실,서울 중구 저동2가 62-1,중부경찰서 민원실 개방화장실
중부경찰서앞교차로,서울 중구 저동2가,중부경찰서앞교차로
중앙지구대,서울 영등포구 영등포동3가 18-1,중앙지구대
중화지구대,서울 중랑구 중화동 326-114,중화지구대
진관파출소,서울 은평구 진관동 산 100-23,진관파출소
창동지구대,서울 도봉구 창동 33-2,창동지구대
창신파출소,서울 종로구 창신동 23-875,창신파출소
천왕파출소,서울 구로구 천왕동 산 13-15,천왕파출소
천호지구대,서울 강동구 천호동 337-121,천호지구대
천호지구대 개방화장실,서울 강동구 천호동 337-121,천호지구대 개방화장실
청담파출소,서울 강남구 청담동 66-3,청담파출소
청량리파출소,서울 동대문구 청량리동 232-2,청량리파출소
청룡2치안센터,서울 관악구 봉천동 1733,청룡2치안센터
청파치안센터,서울 용산구 청파동3가 10-5,청파치안센터
충무파출소,서울 중구 필동1가 20-5,충무파출소
충정로지구대,서울 서대문구 옥천동 100-1,충정로지구대
컴포즈커피 혜화경찰서점,서울 종로구 연지동 209,컴포즈커피 혜화경찰서점
태평로파출소,서울 중구 다동 46,태평로파출소
통의파출소,서울 종로구 통의동 35-66,통의파출소
평창파출소,서울 종로구 평창동 273-3,평창파출소
폴웨스트카페,서울 은평구 녹번동 177-15,폴웨스트카페
풍납파출소,서울 송파구 풍납동 229-14,풍납파출소
하계1치안센터,서울 노원구 하계동 141-8,하계1치안센터
하나은행365 마포경찰서N,서울 마포구 아현동 618-1,하나은행365 마포경찰서N
한강경찰대 광나루한강치안센터,서울 강동구 천호동 485-29,한강경찰대 광나루한강치안센터
한강경찰대 뚝섬한강치안센터,서울 광진구 자양동 97-5,한강경찰대 뚝섬한강치안센터
한강경찰대 망원한강치안센터,서울 마포구 망원동 205-5,한강경찰대 망원한강치안센터
한강경찰대 이촌한강치안센터,서울 용산구 이촌동 361-1,한강경찰대 이촌한강치안센터
한강로지구대,서울 용산구 용산동5가 24,한강로지구대
한국방범기동순찰대,서울 강북구 수유동 산 127-1,한국방범기동순찰대
한남2치안센터,서울 용산구 한남동 산 10-215,한남2치안센터
한남파출소,서울 용산구 한남동 622-3,한남파출소
한양지구대,서울 성동구 행당동 11-7,한양지구대
행당파출소,서울 성동구 행당동 317-1994,행당파출소
혜화경찰서 본관 1층 개방화장실,서울 종로구 숭인동 165,혜화경찰서 본관 1층 개방화장실
혜화파출소,서울 종로구 혜화동 92-1,혜화파출소
홍은2파출소,서울 서대문구 홍은동 424,홍은2파출소
홍은파출소,서울 서대문구 홍은동 48-461,홍은파출소
홍익지구대,서울 마포구 서교동 491,홍익지구대
홍제파출소,서울 서대문구 홍제동 173-1,홍제파출소
화곡3파출소,서울 강서구 화곡동 1043-18,화곡3파출소
화곡본동치안센터,서울 강서구 화곡동 24-257,화곡본동치안센터
화곡지구대,서울 강서구 화곡동 980-27,화곡지구대
화랑지구대,서울 노원구 공릉동 567-18,화랑지구대
화양지구대,서울 광진구 화양동 122,화양지구대
회기파출소,서울 동대문구 회기동 103-46,회기파출소
회현파출소,서울 중구 회현동1가 194-15,회현파출소
효제파출소,서울 종로구 종로6가 238-16,효제파출소
휘경파출소,서울 동대문구 휘경동 43-267,휘경파출소
흑석지구대,서울 동작구 흑석동 341-6,흑석지구대
